timestamp	commit	dirty	benchmark	evaluator	philosophy_failures	critical_failures	regression_failures	heldout_correct	heldout_total	fallback_failures	changed_loc	routing_terms	evaluator_digest	runner_digest	fixture_digest	status	description
2026-08-08T07:23:33+00:00	4b75b4a	0	routing-eval-v1	1	0	4	0	43	56	0	0	219	161b38995c9effb1	f4f5d2cfbeac2aad	e74e9d70ced1d91f+4190a5fb71c7bdf6	baseline	routing-eval-v1 baseline on the committed harness
2026-08-08T07:24:05+00:00	4b75b4a	1	routing-eval-v1	1	0	4	0	44	56	0	2	222	161b38995c9effb1	f4f5d2cfbeac2aad	e74e9d70ced1d91f+4190a5fb71c7bdf6	keep	E-1 market_salary: add plain market-rate synonyms (相場 / market rate / 시세)
2026-08-08T07:33:53+00:00	cf650e7	0	routing-eval-v1	1	0	4	0	44	56	0	0	222	584cea295c7930d8	f4f5d2cfbeac2aad	e74e9d70ced1d91f+4190a5fb71c7bdf6	baseline	re-baseline after the CRLF digest fix (evaluator identity changed, semantics did not)
